Clockwork Angel,Cassandra Clare
Grey Sister,Mark Lawrence
The Quantum Thief,Hannu Rajaniemi
The Way Of Shadows,Brent Weeks
The Warded Man,Peter V Brett
Ilium,Dan Simmons
Enders Game,Dan Simmons
Assasins Apprentice,Robin Hobb
